review_id,author,author_url,rating,text,date,date_relative,language,helpful_count,response_text,response_date,page_number
Ci9DQUlRQUNvZENodHljRjlvT2pCSWRGSnBTbXhsWlRGTWRWVndObHAyVUd4RGFWRRAB,,https://www.google.com/maps/contrib/104740205120186865582/reviews?hl=th,5,,,3 วันที่ผ่านมา,,0,,,41
Ci9DQUlRQUNvZENodHljRjlvT21GWlZqTldMV3AzVlRKV1pGRlZjbXRsVnpkbFkyYxAB,,https://www.google.com/maps/contrib/112394991069487754687/reviews?hl=th,5,,,4 วันที่ผ่านมา,,0,,,51
Ci9DQUlRQUNvZENodHljRjlvT2kxa2MxZ3RXV0pUTFZKblVrbFVZek0yZVhKNFZsRRAB,,https://www.google.com/maps/contrib/118345644082188813951/reviews?hl=th,3,,,5 วันที่ผ่านมา,,0,,,40
Ci9DQUlRQUNvZENodHljRjlvT2pKdFZUQnFOVFpDVTJOdlYzQTRlRWx3VTE5cExYYxAB,,https://www.google.com/maps/contrib/112393155638272353813/reviews?hl=th,5,,,5 วันที่ผ่านมา,,0,,,41
Ci9DQUlRQUNvZENodHljRjlvT2xGVmJtcEpNRU00TjJ0bFdVbERUWGc0WW5KTldIYxAB,,https://www.google.com/maps/contrib/105524925208508571693/reviews?hl=th,2,,,5 วันที่ผ่านมา,,0,,,42
Ci9DQUlRQUNvZENodHljRjlvT2twcmExQnJabFJJU1hOSlkweFZhVkY1Y0VwMmNsRRAB,,https://www.google.com/maps/contrib/116071570163297406642/reviews?hl=th,5,,,5 วันที่ผ่านมา,,0,,,44
Ci9DQUlRQUNvZENodHljRjlvT2t0Vk4zaHZkbVZaVTFkNk1reHNMVFJoZERBdFpIYxAB,,https://www.google.com/maps/contrib/110803425534899526367/reviews?hl=th,4,,,6 วันที่ผ่านมา,,0,,,40
Ci9DQUlRQUNvZENodHljRjlvT25JMll6QjNXRzlDVGpsSVlVbG1lREJWUlZaTVdGRRAB,,https://www.google.com/maps/contrib/111413771993504086757/reviews?hl=th,4,,,6 วันที่ผ่านมา,,0,,,49
Ci9DQUlRQUNvZENodHljRjlvT21neldtZFVkR05OVlRsb05VRkJZMTl4WWtaMFpuYxAB,,https://www.google.com/maps/contrib/111536213990713119874/reviews?hl=th,5,,,สัปดาห์ที่แล้ว,,0,,,43
Ci9DQUlRQUNvZENodHljRjlvT2pkVFkzWkpZV3RHTFZKV2NEZEVSRkpOZFRsdWRWRRAB,,https://www.google.com/maps/contrib/103686968313789312095/reviews?hl=th,5,,,สัปดาห์ที่แล้ว,,0,,,57
Ci9DQUlRQUNvZENodHljRjlvT2pKa1RqTmlZekpwWVU5YVFXc3ljR0ZoYTNkemRFRRAB,,https://www.google.com/maps/contrib/103191009943733118738/reviews?hl=th,5,,,สัปดาห์ที่แล้ว,,0,,,1
Ci9DQUlRQUNvZENodHljRjlvT2xscmFUVXpXbU13TW1sWFgzb3hRMEpmYlV0aVNrRRAB,,https://www.google.com/maps/contrib/113445967644793914496/reviews?hl=th,4,,,สัปดาห์ที่แล้ว,,0,,,40
Ci9DQUlRQUNvZENodHljRjlvT2pOSFEwc3dObDlyU25RMVJsRTBXVlp6YjNCYWQwRRAB,,https://www.google.com/maps/contrib/113554898081451896276/reviews?hl=th,3,,,สัปดาห์ที่แล้ว,,0,,,41
Ci9DQUlRQUNvZENodHljRjlvT2taVmIxbFFWMHRzTjNGdGFWUkxkVTVzYTIxcldYYxAB,,https://www.google.com/maps/contrib/110133620598907081851/reviews?hl=th,4,,,สัปดาห์ที่แล้ว,,0,,,1
Ci9DQUlRQUNvZENodHljRjlvT2pWTWQxbFNSemgwVEVsb2FGRXROUzFzVTJSYWVVRRAB,,https://www.google.com/maps/contrib/115920220522093664289/reviews?hl=th,5,,,สัปดาห์ที่แล้ว,,0,,,41
Ci9DQUlRQUNvZENodHljRjlvT2tOUE5HeFJOSEY1ZUcxVGFuQkJiRlZ6TUZaMmNYYxAB,,https://www.google.com/maps/contrib/103043235613085940735/reviews?hl=th,5,,,สัปดาห์ที่แล้ว,,0,,,46
Ci9DQUlRQUNvZENodHljRjlvT2xBM2NGZHNXRXh6V2tSQlUwdGFiM0pzTFU5cFEyYxAB,,https://www.google.com/maps/contrib/108395702583985775273/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,1
Ci9DQUlRQUNvZENodHljRjlvT2poMWQxbHdTRVpQTkZCa1VtaGZTbVpITnpsNlduYxAB,,https://www.google.com/maps/contrib/106025776551110021136/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,40
Ci9DQUlRQUNvZENodHljRjlvT2psTmFFeGxhalpTZUhoQ05XcFpkRzVEVWt3MlNuYxAB,,https://www.google.com/maps/contrib/103431089791139356944/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,41
Ci9DQUlRQUNvZENodHljRjlvT2xacWVVZzRlREJyVmpKWGJYcEVMVUpuYmxWcVVWRRAB,,https://www.google.com/maps/contrib/113317750027840479784/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,42
Ci9DQUlRQUNvZENodHljRjlvT205MmFUZE5ZVzh5T0ZSTVEweFRaM2RHTW05UFZHYxAB,,https://www.google.com/maps/contrib/103292956706506219262/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,65
Ci9DQUlRQUNvZENodHljRjlvT2paVFZrdHRhMkpqT1VKdU9VNVpiRkJSTjBGR1QxRRAB,,https://www.google.com/maps/contrib/100031190591151600621/reviews?hl=th,5,,,2 สัปดาห์ที่แล้ว,,0,,,53
Ci9DQUlRQUNvZENodHljRjlvT2tvMGEzbHRaVkZYYjJObGNUQm1kaTFVU210S1NVRRAB,,https://www.google.com/maps/contrib/117512726118176707864/reviews?hl=th,4,,,2 สัปดาห์ที่แล้ว,,0,,,42
Ci9DQUlRQUNvZENodHljRjlvT21abFVFZDRORXhqY21Gc2JqTlZiMkYwVHpkUlVYYxAB,,https://www.google.com/maps/contrib/116532554045373720535/reviews?hl=th,5,,,3 สัปดาห์ที่แล้ว,,0,,,21
